설치장소명,설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명,
일원1동주민센터,1층,서울특별시,강남구,관공서,SKT Giga WiFi,"Gangnam_2.4G, Gangnam_5G",2018-10,서울특별시 강남구 양재대로55길 14,서울특별시 강남구 일원동 712-3,서울특별시 강남구청,02-3423-5342,37.491820,127.088020,2018-05-10,3220000,서울특별시 강남구,
일원청소년독서실,일원청소년독서실 내,서울특별시,강남구,지역문화시설,미래부(SKT),PublicWiFi@Seoul,2018-10,서울특별시 강남구 개포로116길 21,서울특별시 강남구 일원동 621,서울특별시 강남구청,02-3423-5342,37.492810,127.082140,2018-05-10,3220000,서울특별시 강남구,
일원청소년독서실,일원청소년독서실 내,서울특별시,강남구,지역문화시설,미래부(SKT),PublicWiFi@Seoul,2018-10,서울특별시 강남구 개포로116길 21,서울특별시 강남구 일원동 621,서울특별시 강남구청,02-3423-5342,37.492810,127.082140,2018-05-10,3220000,서울특별시 강남구,
일원청소년독서실,일원청소년독서실 내,서울특별시,강남구,지역문화시설,미래부(SKT),PublicWiFi@Seoul,2018-10,서울특별시 강남구 개포로116길 21,서울특별시 강남구 일원동 621,서울특별시 강남구청,02-3423-5342,37.492810,127.082140,2018-05-10,3220000,서울특별시 강남구,
일원청소년독서실,일원청소년독서실 내,서울특별시,강남구,지역문화시설,미래부(SKT),PublicWiFi@Seoul,2018-10,서울특별시 강남구 개포로116길 21,서울특별시 강남구 일원동 621,서울특별시 강남구청,02-3423-5342,37.492810,127.082140,2018-05-10,3220000,서울특별시 강남구,
일원청소년독서실,일원청소년독서실 내,서울특별시,강남구,지역문화시설,미래부(SKT),PublicWiFi@Seoul,2018-10,서울특별시 강남구 개포로116길 21,서울특별시 강남구 일원동 621,서울특별시 강남구청,02-3423-5342,37.492810,127.082140,2018-05-10,3220000,서울특별시 강남구,
일원청소년독서실,일원청소년독서실 내,서울특별시,강남구,지역문화시설,미래부(SKT),PublicWiFi@Seoul,2018-10,서울특별시 강남구 개포로116길 21,서울특별시 강남구 일원동 621,서울특별시 강남구청,02-3423-5342,37.492810,127.082140,2018-05-10,3220000,서울특별시 강남구,
정신건강복지센터,3층 어린이방,서울특별시,강남구,관공서,강남구,Gangnam,2018-01,서울특별시 강남구 일원로9길 38,서울특별시 강남구 일원동 666-7,서울특별시 강남구청,02-3423-5342,37.490137,127.084669,2018-05-10,3220000,서울특별시 강남구,
정신건강복지센터,2층 로비,서울특별시,강남구,관공서,강남구,Gangnam,2018-01,서울특별시 강남구 일원로9길 38,서울특별시 강남구 일원동 666-7,서울특별시 강남구청,02-3423-5342,37.490137,127.084669,2018-05-10,3220000,서울특별시 강남구,
강남장애인복지관,지하1층,서울특별시,강남구,서민·복지시설,미래부(LGU+),PublicWiFi@Seoul,2018-12,서울특별시 강남구 개포로 605,서울특별시 강남구 개포동 12-10,서울특별시 강남구청,02-3423-5342,37.491940,127.073450,2018-05-10,3220000,서울특별시 강남구,
강남장애인복지관,지하1층,서울특별시,강남구,서민·복지시설,미래부(LGU+),PublicWiFi@Seoul,2018-12,서울특별시 강남구 개포로 605,서울특별시 강남구 개포동 12-10,서울특별시 강남구청,02-3423-5342,37.491940,127.073450,2018-05-10,3220000,서울특별시 강남구,
대진체육관,1층,서울특별시,강남구,편의시설,강남구,Gangnam,2018-07,서울특별시 강남구 개포로109길 62,서울특별시 강남구 개포동 13-1,서울특별시 강남구청,02-3423-5342,37.496030,127.078770,2018-05-10,3220000,서울특별시 강남구,
일원2-101(C6),레미안루체하임 112동 영희초교사거리 쪽,서울특별시,강남구,편의시설,SKT Giga WiFi,Gangnam_WIFI,2018-12,서울특별시 강남구 일원2동 690-2,서울특별시 강남구 일원동 690-2,서울특별시 강남구청,02-3423-5342,37.490884,127.080688,2018-05-10,3220000,서울특별시 강남구,
일원2-105(C3),대치교 남단,서울특별시,강남구,편의시설,SKT Giga WiFi,Gangnam_WIFI,2018-12,서울특별시 강남구 대치동 18-11,서울특별시 강남구 대치동 18-11,서울특별시 강남구청,02-3423-5342,37.497966,127.074347,2018-05-10,3220000,서울특별시 강남구,
일원2-201(C3),대진공원 정자 옆,서울특별시,강남구,편의시설,SKT Giga WiFi,Gangnam_WIFI,2018-12,서울특별시 강남구 개포로109길 62,서울특별시 강남구 개포동 13-1,서울특별시 강남구청,02-3423-5342,37.495750,127.078308,2018-05-10,3220000,서울특별시 강남구,
일원2-204(C3),한마음공원 내,서울특별시,강남구,편의시설,서울시(SKT),PublicWiFi@Seoul,2018-12,서울특별시 강남구 개포동 12-3,서울특별시 강남구 개포동 12-3,서울특별시 강남구청,02-3423-5342,37.496078,127.075549,2018-05-10,3220000,서울특별시 강남구,
일원2-206(C7),일원초교 정문,서울특별시,강남구,편의시설,SKT Giga WiFi,Gangnam_WIFI,2018-12,서울특별시 강남구 영동대로4길 20,서울특별시 강남구 일원동 691,서울특별시 강남구청,02-3423-5342,37.489131,127.077099,2018-05-10,3220000,서울특별시 강남구,
일원2-211(C7),늘푸른공원 앞 삼거리,서울특별시,강남구,편의시설,서울시(SKT),PublicWiFi@Seoul,2018-11,서울특별시 강남구 일원동 690,서울특별시 강남구 일원동 690,서울특별시 강남구청,02-3423-5342,37.490510,127.077252,2018-05-10,3220000,서울특별시 강남구,
일원2동주민센터,2층,서울특별시,강남구,관공서,강남구,Gangnam_2F,2018-07,서울특별시 강남구 개포로 607,서울특별시 강남구 개포동 12-6,서울특별시 강남구청,02-3423-5342,37.492104,127.073686,2018-05-10,3220000,서울특별시 강남구,
일원2동주민센터,3층,서울특별시,강남구,관공서,강남구,Gangnam_3F,2018-07,서울특별시 강남구 개포로 607,서울특별시 강남구 개포동 12-6,서울특별시 강남구청,02-3423-5342,37.492104,127.073686,2018-05-10,3220000,서울특별시 강남구,
일원2동주민센터,1층,서울특별시,강남구,관공서,SKT Giga WiFi,"Gangnam_2.4G, Gangnam_5G",2018-10,서울특별시 강남구 개포로 607,서울특별시 강남구 개포동 12-6,서울특별시 강남구청,02-3423-5342,37.492104,127.073686,2018-05-10,3220000,서울특별시 강남구,
하상장애인복지관,1층,서울특별시,강남구,서민·복지시설,미래부(LGU+),PublicWiFi@Seoul,2018-12,서울특별시 강남구 개포로 613,서울특별시 강남구 개포동 12-5,서울특별시 강남구청,02-3423-5342,37.492500,127.075110,2018-05-10,3220000,서울특별시 강남구,
하상장애인복지관,1층,서울특별시,강남구,서민·복지시설,미래부(LGU+),PublicWiFi@Seoul,2018-12,서울특별시 강남구 개포로 613,서울특별시 강남구 개포동 12-5,서울특별시 강남구청,02-3423-5342,37.492500,127.075110,2018-05-10,3220000,서울특별시 강남구,
하상장애인복지관,2층,서울특별시,강남구,서민·복지시설,미래부(LGU+),PublicWiFi@Seoul,2018-12,서울특별시 강남구 개포로 613,서울특별시 강남구 개포동 12-5,서울특별시 강남구청,02-3423-5342,37.492500,127.075110,2018-05-10,3220000,서울특별시 강남구,
하상장애인복지관,지하1층,서울특별시,강남구,서민·복지시설,미래부(LGU+),PublicWiFi@Seoul,2018-12,서울특별시 강남구 개포로 613,서울특별시 강남구 개포동 12-5,서울특별시 강남구청,02-3423-5342,37.492500,127.075110,2018-05-10,3220000,서울특별시 강남구,
강남구청소년상담복지센터,강남구청소년상담복지센터 내,서울특별시,강남구,서민·복지시설,미래부(KT),PublicWiFi@Seoul,2018-10,서울특별시 강남구 광평로 144,서울특별시 강남구 수서동 749,서울특별시 강남구청,02-3423-5342,37.483530,127.088730,2018-05-10,3220000,서울특별시 강남구,
강남구청소년상담복지센터,강남구청소년상담복지센터 내,서울특별시,강남구,서민·복지시설,미래부(KT),PublicWiFi@Seoul,2018-10,서울특별시 강남구 광평로 144,서울특별시 강남구 수서동 749,서울특별시 강남구청,02-3423-5342,37.483530,127.088730,2018-05-10,3220000,서울특별시 강남구,
강남구청소년상담복지센터,강남구청소년상담복지센터 내,서울특별시,강남구,서민·복지시설,미래부(KT),PublicWiFi@Seoul,2018-10,서울특별시 강남구 광평로 144,서울특별시 강남구 수서동 749,서울특별시 강남구청,02-3423-5342,37.483530,127.088730,2018-05-10,3220000,서울특별시 강남구,
강남구청소년상담복지센터,강남구청소년상담복지센터 내,서울특별시,강남구,서민·복지시설,미래부(KT),PublicWiFi@Seoul,2018-10,서울특별시 강남구 광평로 144,서울특별시 강남구 수서동 749,서울특별시 강남구청,02-3423-5342,37.483530,127.088730,2018-05-10,3220000,서울특별시 강남구,
강남구청소년상담복지센터,강남구청소년상담복지센터 내,서울특별시,강남구,서민·복지시설,미래부(KT),PublicWiFi@Seoul,2018-10,서울특별시 강남구 광평로 144,서울특별시 강남구 수서동 749,서울특별시 강남구청,02-3423-5342,37.483530,127.088730,2018-05-10,3220000,서울특별시 강남구,
강남구청소년상담복지센터,강남구청소년상담복지센터 내,서울특별시,강남구,서민·복지시설,미래부(KT),PublicWiFi@Seoul,2018-10,서울특별시 강남구 광평로 144,서울특별시 강남구 수서동 749,서울특별시 강남구청,02-3423-5342,37.483530,127.088730,2018-05-10,3220000,서울특별시 강남구,
강남구청소년상담복지센터,강남구청소년상담복지센터 내,서울특별시,강남구,서민·복지시설,미래부(KT),PublicWiFi@Seoul,2018-10,서울특별시 강남구 광평로 144,서울특별시 강남구 수서동 749,서울특별시 강남구청,02-3423-5342,37.483530,127.088730,2018-05-10,3220000,서울특별시 강남구,
강남구청소년상담복지센터,강남구청소년상담복지센터 내,서울특별시,강남구,서민·복지시설,미래부(KT),PublicWiFi@Seoul,2018-10,서울특별시 강남구 광평로 144,서울특별시 강남구 수서동 749,서울특별시 강남구청,02-3423-5342,37.483530,127.088730,2018-05-10,3220000,서울특별시 강남구,
강남구청소년상담복지센터,강남구청소년상담복지센터 내,서울특별시,강남구,서민·복지시설,미래부(KT),PublicWiFi@Seoul,2018-10,서울특별시 강남구 광평로 144,서울특별시 강남구 수서동 749,서울특별시 강남구청,02-3423-5342,37.483530,127.088730,2018-05-10,3220000,서울특별시 강남구,
강남구청소년상담복지센터,강남구청소년상담복지센터 내,서울특별시,강남구,서민·복지시설,미래부(KT),PublicWiFi@Seoul,2018-10,서울특별시 강남구 광평로 144,서울특별시 강남구 수서동 749,서울특별시 강남구청,02-3423-5342,37.483530,127.088730,2018-05-10,3220000,서울특별시 강남구,
강남구청소년상담복지센터,강남구청소년상담복지센터 내,서울특별시,강남구,서민·복지시설,미래부(KT),PublicWiFi@Seoul,2018-10,서울특별시 강남구 광평로 144,서울특별시 강남구 수서동 749,서울특별시 강남구청,02-3423-5342,37.483530,127.088730,2018-05-10,3220000,서울특별시 강남구,
강남구청소년상담복지센터,강남구청소년상담복지센터 내,서울특별시,강남구,서민·복지시설,미래부(KT),PublicWiFi@Seoul,2018-10,서울특별시 강남구 광평로 144,서울특별시 강남구 수서동 749,서울특별시 강남구청,02-3423-5342,37.483530,127.088730,2018-05-10,3220000,서울특별시 강남구,
강남구청소년상담복지센터,강남구청소년상담복지센터 내,서울특별시,강남구,서민·복지시설,미래부(KT),PublicWiFi@Seoul,2018-10,서울특별시 강남구 광평로 144,서울특별시 강남구 수서동 749,서울특별시 강남구청,02-3423-5342,37.483530,127.088730,2018-05-10,3220000,서울특별시 강남구,
강남구청소년상담복지센터,강남구청소년상담복지센터 내,서울특별시,강남구,서민·복지시설,미래부(KT),PublicWiFi@Seoul,2018-10,서울특별시 강남구 광평로 144,서울특별시 강남구 수서동 749,서울특별시 강남구청,02-3423-5342,37.483530,127.088730,2018-05-10,3220000,서울특별시 강남구,
강남구청소년상담복지센터,강남구청소년상담복지센터 내,서울특별시,강남구,서민·복지시설,미래부(KT),PublicWiFi@Seoul,2018-10,서울특별시 강남구 광평로 144,서울특별시 강남구 수서동 749,서울특별시 강남구청,02-3423-5342,37.483530,127.088730,2018-05-10,3220000,서울특별시 강남구,
강남구청소년상담복지센터,강남구청소년상담복지센터 내,서울특별시,강남구,서민·복지시설,미래부(KT),PublicWiFi@Seoul,2018-10,서울특별시 강남구 광평로 144,서울특별시 강남구 수서동 749,서울특별시 강남구청,02-3423-5342,37.483530,127.088730,2018-05-10,3220000,서울특별시 강남구,
강남구청소년상담복지센터,강남구청소년상담복지센터 내,서울특별시,강남구,서민·복지시설,미래부(KT),PublicWiFi@Seoul,2018-10,서울특별시 강남구 광평로 144,서울특별시 강남구 수서동 749,서울특별시 강남구청,02-3423-5342,37.483530,127.088730,2018-05-10,3220000,서울특별시 강남구,
강남구청소년상담복지센터,강남구청소년상담복지센터 내,서울특별시,강남구,서민·복지시설,미래부(KT),PublicWiFi@Seoul,2018-10,서울특별시 강남구 광평로 144,서울특별시 강남구 수서동 749,서울특별시 강남구청,02-3423-5342,37.483530,127.088730,2018-05-10,3220000,서울특별시 강남구,
강남구청소년상담복지센터,강남구청소년상담복지센터 내,서울특별시,강남구,서민·복지시설,미래부(KT),PublicWiFi@Seoul,2018-10,서울특별시 강남구 광평로 144,서울특별시 강남구 수서동 749,서울특별시 강남구청,02-3423-5342,37.483530,127.088730,2018-05-10,3220000,서울특별시 강남구,
강남구청소년상담복지센터,강남구청소년상담복지센터 내,서울특별시,강남구,서민·복지시설,미래부(KT),PublicWiFi@Seoul,2018-10,서울특별시 강남구 광평로 144,서울특별시 강남구 수서동 749,서울특별시 강남구청,02-3423-5342,37.483530,127.088730,2018-05-10,3220000,서울특별시 강남구,
서울일원본동우체국,서울일원본동우체국 내,서울특별시,강남구,편의시설,서울시(KT),PublicWiFi@Seoul,2018-12,서울특별시 강남구 광평로20길 8,서울특별시 강남구 일원동 735-4,서울특별시 강남구청,02-3423-5342,37.483050,127.086500,2018-05-10,3220000,서울특별시 강남구,
서울일원본동우체국,서울일원본동우체국 내,서울특별시,강남구,편의시설,서울시(KT),PublicWiFi@Seoul,2018-12,서울특별시 강남구 광평로20길 8,서울특별시 강남구 일원동 735-4,서울특별시 강남구청,02-3423-5342,37.483050,127.086500,2018-05-10,3220000,서울특별시 강남구,
일원본-220(D4),일원비둘기공원 내,서울특별시,강남구,편의시설,서울시(SKT),PublicWiFi@Seoul,2018-12,서울특별시 강남구 일원동 735-1,서울특별시 강남구 일원동 735-1,서울특별시 강남구청,02-3423-5342,37.483369,127.086039,2018-05-10,3220000,서울특별시 강남구,
일원본동주민센터,2층,서울특별시,강남구,관공서,강남구,Gangnam_2F_EDU,2018-10,서울특별시 강남구 광평로 126,서울특별시 강남구 일원동 735-3,서울특별시 강남구청,02-3423-5342,37.483330,127.086460,2018-05-10,3220000,서울특별시 강남구,
일원본동주민센터,1층,서울특별시,강남구,관공서,SKT Giga WiFi,"Gangnam_2.4G, Gangnam_5G",2018-10,서울특별시 강남구 광평로 126,서울특별시 강남구 일원동 735-3,서울특별시 강남구청,02-3423-5342,37.483330,127.086460,2018-05-10,3220000,서울특별시 강남구,
태화기독교사회복지관,태화기독교사회복지관 내,서울특별시,강남구,서민·복지시설,미래부(SKT),PublicWiFi@Seoul,2018-12,서울특별시 강남구 광평로 185,서울특별시 강남구 수서동 741,서울특별시 강남구청,02-3423-5342,37.484740,127.093420,2018-05-10,3220000,서울특별시 강남구,
태화기독교사회복지관,태화기독교사회복지관 내,서울특별시,강남구,서민·복지시설,미래부(SKT),PublicWiFi@Seoul,2018-12,서울특별시 강남구 광평로 185,서울특별시 강남구 수서동 741,서울특별시 강남구청,02-3423-5342,37.484740,127.093420,2018-05-10,3220000,서울특별시 강남구,
태화기독교사회복지관,태화기독교사회복지관 내,서울특별시,강남구,서민·복지시설,미래부(SKT),PublicWiFi@Seoul,2018-12,서울특별시 강남구 광평로 185,서울특별시 강남구 수서동 741,서울특별시 강남구청,02-3423-5342,37.484740,127.093420,2018-05-10,3220000,서울특별시 강남구,
태화기독교사회복지관,태화기독교사회복지관 내,서울특별시,강남구,서민·복지시설,미래부(SKT),PublicWiFi@Seoul,2018-12,서울특별시 강남구 광평로 185,서울특별시 강남구 수서동 741,서울특별시 강남구청,02-3423-5342,37.484740,127.093420,2018-05-10,3220000,서울특별시 강남구,
태화기독교사회복지관,태화기독교사회복지관 내,서울특별시,강남구,서민·복지시설,미래부(SKT),PublicWiFi@Seoul,2018-12,서울특별시 강남구 광평로 185,서울특별시 강남구 수서동 741,서울특별시 강남구청,02-3423-5342,37.484740,127.093420,2018-05-10,3220000,서울특별시 강남구,
태화기독교사회복지관,태화기독교사회복지관 내,서울특별시,강남구,서민·복지시설,미래부(SKT),PublicWiFi@Seoul,2018-12,서울특별시 강남구 광평로 185,서울특별시 강남구 수서동 741,서울특별시 강남구청,02-3423-5342,37.484740,127.093420,2018-05-10,3220000,서울특별시 강남구,
태화기독교사회복지관,태화기독교사회복지관 내,서울특별시,강남구,서민·복지시설,미래부(SKT),PublicWiFi@Seoul,2018-12,서울특별시 강남구 광평로 185,서울특별시 강남구 수서동 741,서울특별시 강남구청,02-3423-5342,37.484740,127.093420,2018-05-10,3220000,서울특별시 강남구,
태화기독교사회복지관,태화기독교사회복지관 내,서울특별시,강남구,서민·복지시설,미래부(SKT),PublicWiFi@Seoul,2018-12,서울특별시 강남구 광평로 185,서울특별시 강남구 수서동 741,서울특별시 강남구청,02-3423-5342,37.484740,127.093420,2018-05-10,3220000,서울특별시 강남구,
태화기독교사회복지관,태화기독교사회복지관 내,서울특별시,강남구,서민·복지시설,미래부(SKT),PublicWiFi@Seoul,2018-12,서울특별시 강남구 광평로 185,서울특별시 강남구 수서동 741,서울특별시 강남구청,02-3423-5342,37.484740,127.093420,2018-05-10,3220000,서울특별시 강남구,
태화기독교사회복지관,태화기독교사회복지관 내,서울특별시,강남구,서민·복지시설,미래부(SKT),PublicWiFi@Seoul,2018-12,서울특별시 강남구 광평로 185,서울특별시 강남구 수서동 741,서울특별시 강남구청,02-3423-5342,37.484740,127.093420,2018-05-10,3220000,서울특별시 강남구,
태화기독교사회복지관,태화기독교사회복지관 내,서울특별시,강남구,서민·복지시설,미래부(SKT),PublicWiFi@Seoul,2018-12,서울특별시 강남구 광평로 185,서울특별시 강남구 수서동 741,서울특별시 강남구청,02-3423-5342,37.484740,127.093420,2018-05-10,3220000,서울특별시 강남구,
태화기독교사회복지관,태화기독교사회복지관 내,서울특별시,강남구,서민·복지시설,미래부(SKT),PublicWiFi@Seoul,2018-12,서울특별시 강남구 광평로 185,서울특별시 강남구 수서동 741,서울특별시 강남구청,02-3423-5342,37.484740,127.093420,2018-05-10,3220000,서울특별시 강남구,
태화기독교사회복지관,태화기독교사회복지관 내,서울특별시,강남구,서민·복지시설,미래부(SKT),PublicWiFi@Seoul,2018-12,서울특별시 강남구 광평로 185,서울특별시 강남구 수서동 741,서울특별시 강남구청,02-3423-5342,37.484740,127.093420,2018-05-10,3220000,서울특별시 강남구,
태화기독교사회복지관,태화기독교사회복지관 내,서울특별시,강남구,서민·복지시설,미래부(SKT),PublicWiFi@Seoul,2018-12,서울특별시 강남구 광평로 185,서울특별시 강남구 수서동 741,서울특별시 강남구청,02-3423-5342,37.484740,127.093420,2018-05-10,3220000,서울특별시 강남구,
강남청소년수련관,3층,서울특별시,강남구,편의시설,미래부(KT),PublicWiFi@Seoul,2018-12,서울특별시 강남구 영동대로131길 26,서울특별시 강남구 청담동 66-3,서울특별시 강남구청,02-3423-5342,37.520500,127.053995,2018-05-10,3220000,서울특별시 강남구,
강남청소년수련관,3층,서울특별시,강남구,편의시설,미래부(KT),PublicWiFi@Seoul,2018-12,서울특별시 강남구 영동대로131길 26,서울특별시 강남구 청담동 66-3,서울특별시 강남구청,02-3423-5342,37.520500,127.053995,2018-05-10,3220000,서울특별시 강남구,
강남청소년수련관,2층,서울특별시,강남구,편의시설,미래부(KT),PublicWiFi@Seoul,2018-12,서울특별시 강남구 영동대로131길 26,서울특별시 강남구 청담동 66-3,서울특별시 강남구청,02-3423-5342,37.520500,127.053995,2018-05-10,3220000,서울특별시 강남구,
강남청소년수련관,1층,서울특별시,강남구,편의시설,미래부(KT),PublicWiFi@Seoul,2018-12,서울특별시 강남구 영동대로131길 26,서울특별시 강남구 청담동 66-3,서울특별시 강남구청,02-3423-5342,37.520500,127.053995,2018-05-10,3220000,서울특별시 강남구,
강남청소년수련관,지하1층,서울특별시,강남구,편의시설,미래부(KT),PublicWiFi@Seoul,2018-12,서울특별시 강남구 영동대로131길 26,서울특별시 강남구 청담동 66-3,서울특별시 강남구청,02-3423-5342,37.520500,127.053995,2018-05-10,3220000,서울특별시 강남구,
청담-101(A7),비이커청담 앞,서울특별시,강남구,편의시설,SKT Giga WiFi,Gangnam_WIFI,2018-12,서울특별시 강남구 압구정로 408,서울특별시 강남구 청담동 78-18,서울특별시 강남구청,02-3423-5342,37.527436,127.041594,2018-05-10,3220000,서울특별시 강남구,
청담-107(A7),박지현한복 청담점 앞,서울특별시,강남구,편의시설,SKT Giga WiFi,Gangnam_WIFI,2018-12,서울특별시 강남구 선릉로 816,서울특별시 강남구 청담동 85-17,서울특별시 강남구청,02-3423-5342,37.524661,127.039737,2018-05-10,3220000,서울특별시 강남구,
청담-108(A3),KEB하나은행 청담사거리지점 앞,서울특별시,강남구,편의시설,SKT Giga WiFi,Gangnam_WIFI,2018-03,서울특별시 강남구 도산대로 507,서울특별시 강남구 청담동 120-3,서울특별시 강남구청,02-3423-5342,37.524610,127.048703,2018-05-10,3220000,서울특별시 강남구,
청담-108(A3),KEB하나은행 청담사거리지점 앞,서울특별시,강남구,편의시설,SKT Giga WiFi,Gangnam_WIFI,2018-03,서울특별시 강남구 도산대로 507,서울특별시 강남구 청담동 120-3,서울특별시 강남구청,02-3423-5342,37.524610,127.048703,2018-05-10,3220000,서울특별시 강남구,
청담-108(A3),KEB하나은행 청담사거리지점 앞,서울특별시,강남구,편의시설,SKT Giga WiFi,Gangnam_WIFI,2018-03,서울특별시 강남구 도산대로 507,서울특별시 강남구 청담동 120-3,서울특별시 강남구청,02-3423-5342,37.524610,127.048703,2018-05-10,3220000,서울특별시 강남구,
청담-109(A3),이디야커피 청담사거리점 앞,서울특별시,강남구,편의시설,SKT Giga WiFi,Gangnam_WIFI,2018-03,서울특별시 강남구 도산대로 521,서울특별시 강남구 청담동 125-22,서울특별시 강남구청,02-3423-5342,37.524775,127.050334,2018-05-10,3220000,서울특별시 강남구,
청담-109(A3),이디야커피 청담사거리점 앞,서울특별시,강남구,편의시설,SKT Giga WiFi,Gangnam_WIFI,2018-03,서울특별시 강남구 도산대로 521,서울특별시 강남구 청담동 125-22,서울특별시 강남구청,02-3423-5342,37.524775,127.050334,2018-05-10,3220000,서울특별시 강남구,
청담-110(A8),피앤폴루스 앞,서울특별시,강남구,편의시설,SKT Giga WiFi,Gangnam_WIFI,2018-03,서울특별시 강남구 도산대로 442,서울특별시 강남구 청담동 4-8,서울특별시 강남구청,02-3423-5342,37.523648,127.044555,2018-05-10,3220000,서울특별시 강남구,
청담-110(A8),피앤폴루스 앞,서울특별시,강남구,편의시설,SKT Giga WiFi,Gangnam_WIFI,2018-03,서울특별시 강남구 도산대로 442,서울특별시 강남구 청담동 4-8,서울특별시 강남구청,02-3423-5342,37.523648,127.044555,2018-05-10,3220000,서울특별시 강남구,
청담-110(A8),피앤폴루스 앞,서울특별시,강남구,편의시설,SKT Giga WiFi,Gangnam_WIFI,2018-03,서울특별시 강남구 도산대로 442,서울특별시 강남구 청담동 4-8,서울특별시 강남구청,02-3423-5342,37.523648,127.044555,2018-05-10,3220000,서울특별시 강남구,
청담-113(A8),하나로마트 청담점 앞,서울특별시,강남구,편의시설,SKT Giga WiFi,Gangnam_WIFI,2018-11,서울특별시 강남구 학동로 411,서울특별시 강남구 청담동 43-9,서울특별시 강남구청,02-3423-5342,37.517988,127.044889,2018-05-10,3220000,서울특별시 강남구,
청담-113(A8),하나로마트 청담점 앞,서울특별시,강남구,편의시설,SKT Giga WiFi,Gangnam_WIFI,2018-11,서울특별시 강남구 학동로 411,서울특별시 강남구 청담동 43-9,서울특별시 강남구청,02-3423-5342,37.517988,127.044889,2018-05-10,3220000,서울특별시 강남구,
청담-116(A8),삼거리,서울특별시,강남구,편의시설,SKT Giga WiFi,Gangnam_WIFI,2018-03,서울특별시 강남구 도산대로 420,서울특별시 강남구 청담동 3,서울특별시 강남구청,02-3423-5342,37.523271,127.041525,2018-05-10,3220000,서울특별시 강남구,
청담-116(A8),삼거리,서울특별시,강남구,편의시설,SKT Giga WiFi,Gangnam_WIFI,2018-03,서울특별시 강남구 도산대로 420,서울특별시 강남구 청담동 3,서울특별시 강남구청,02-3423-5342,37.523271,127.041525,2018-05-10,3220000,서울특별시 강남구,
청담-119(A7),더카페마룬에프 앞,서울특별시,강남구,편의시설,SKT Giga WiFi,Gangnam_WIFI,2018-03,서울특별시 강남구 도산대로 429,서울특별시 강남구 청담동 91-8,서울특별시 강남구청,02-3423-5342,37.523822,127.042906,2018-05-10,3220000,서울특별시 강남구,
청담-120(A7),태그호이어 부티크 청담점 앞,서울특별시,강남구,편의시설,SKT Giga WiFi,Gangnam_WIFI,2018-12,서울특별시 강남구 선릉로 828,서울특별시 강남구 청담동 84-8,서울특별시 강남구청,02-3423-5342,37.525789,127.040138,2018-05-10,3220000,서울특별시 강남구,
청담-124,청담2치안센터 주변,서울특별시,강남구,편의시설,서울시(SKT),PublicWiFi@Seoul,2018-03,서울특별시 강남구 삼성로 761(청담동),서울특별시 강남구 청담동 8,서울특별시 강남구청,02-3423-5342,37.522849,127.047923,2018-05-10,3220000,서울특별시 강남구,
청담-126(A8),더청담 뒤편 사거리,서울특별시,강남구,편의시설,SKT Giga WiFi,Gangnam_WIFI,2018-11,서울특별시 강남구 도산대로 434,서울특별시 강남구 청담동 4-10,서울특별시 강남구청,02-3423-5342,37.522913,127.043188,2018-05-10,3220000,서울특별시 강남구,
청담-126(A8),더청담 뒤편 사거리,서울특별시,강남구,편의시설,SKT Giga WiFi,Gangnam_WIFI,2018-11,서울특별시 강남구 도산대로 434,서울특별시 강남구 청담동 4-10,서울특별시 강남구청,02-3423-5342,37.522913,127.043188,2018-05-10,3220000,서울특별시 강남구,
청담-212(A8),럭키슈에뜨 청담직영점 앞,서울특별시,강남구,편의시설,SKT Giga WiFi,Gangnam_WIFI,2018-12,서울특별시 강남구 선릉로146길 27,서울특별시 강남구 청담동 21-15,서울특별시 강남구청,02-3423-5342,37.521776,127.042062,2018-05-10,3220000,서울특별시 강남구,
청담-213(A8),공영주차장 관리사무실 옆,서울특별시,강남구,편의시설,SKT Giga WiFi,Gangnam_WIFI,2018-12,서울특별시 강남구 도산대로56길 17,서울특별시 강남구 청담동 23,서울특별시 강남구청,02-3423-5342,37.521754,127.040511,2018-05-10,3220000,서울특별시 강남구,
청담-222(A8),영동고교 담장 옆,서울특별시,강남구,편의시설,SKT Giga WiFi,Gangnam_WIFI,2018-12,서울특별시 강남구 선릉로138길 6,서울특별시 강남구 청담동 23-11,서울특별시 강남구청,02-3423-5342,37.519472,127.041375,2018-05-10,3220000,서울특별시 강남구,
청담-233(A7),효성빌라 2동 담장,서울특별시,강남구,편의시설,SKT Giga WiFi,Gangnam_WIFI,2018-03,서울특별시 강남구 압구정로62길 12,서울특별시 강남구 청담동 82-7,서울특별시 강남구청,02-3423-5342,37.526276,127.043468,2018-05-10,3220000,서울특별시 강남구,
청담-233(A7),효성빌라 2동 담장,서울특별시,강남구,편의시설,SKT Giga WiFi,Gangnam_WIFI,2018-03,서울특별시 강남구 압구정로62길 12,서울특별시 강남구 청담동 82-7,서울특별시 강남구청,02-3423-5342,37.526276,127.043468,2018-05-10,3220000,서울특별시 강남구,
