야영(캠핑)장명,야영(캠핑)장구분,위도,경도,소재지도로명주소,소재지지번주소,야영장전화번호,야영사이트수,부지면적,건축연면적,1일최대수용인원수,주차장면수,편의시설,안전시설,기타부대시설,이용시간,이용요금,관리기관전화번호,관리기관명,데이터기준일자,
낭만가족 캠핑장,야영장,37.9305459,127.1222223,경기도 포천시 신북면 지동길 199-10,경기도 포천시 신북면 84-8,031-000-0000,21,,,84,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광사업과),2017-11-21,
광릉분재예술공워 캠핑장,야영장,37.7800986,127.1603135,경기도 포천시 소흘읍 직동리 281-1,경기도 포천시 소흘읍 직동리 281-1,031-000-0000,19,,,76,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광사업과),2017-11-21,
꿈에그린 캠핑장,야영장,38.0137889,127.370975,경기도 포천시 이동면 화동로1870번길 31,경기도 포천시 이동면 연곡리 475,031-000-0000,26,,,104,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광사업과),2017-11-21,
파피루스 캠핑장,야영장,38.0266466,127.2819528,경기도 포천시 영중면 성장로179번길 32,경기도 포천시 영중면 성동리 75,031-000-0000,27,,,108,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광사업과),2017-11-21,
가래골농원 캠핑장,자동차야영장,37.9931821,127.1573867,경기도 포천시 창수면 포천로2811번길 178,경기도 포천시 창수면 추동리 821,031-000-0000,66,,,264,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광사업과),2017-11-21,
담터오지캠핑장,야영장,38.1656341,127.1877718,경기도 포천시 관인면 삼율리 40-1,경기도 포천시 관인면 삼율리 40-1,031-000-0000,8,,,32,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광사업과),2017-11-21,
예손농원캠핑장,야영장,38.0617287,127.3272886,경기도 포천시 영북면 여우고개로 7,경기도 포천시 영북면 산정리 84-7,031-000-0000,16,,,64,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광사업과),2017-11-21,
키즈글램핑GEO,야영장,38.1106975,127.396443,경기도 포천시 이동면 금강로 6561,경기도 포천시 이동면 도평리 585-6,031-000-0000,25,,,100,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광사업과),2017-11-21,
산아래캠핑장,야영장,38.1575793,127.1939355,경기도 포천시 관인면 담터길 275,경기도 포천시 관인면 삼율리 12,031-000-0000,20,,,80,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광사업과),2017-11-21,
캠프오후4시,야영장,37.8687757,127.2508302,경기도 포천시 군내면 청군로2864번길22-2,경기도 포천시 군내면 직두리 11,031-000-0000,15,,,60,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광사업과),2017-11-21,
파인트리,야영장,38.0200176,127.3640593,경기도 포천시 이동면 화동로1925-61,경기도 포천시 이동면 연곡리 932-2,031-000-0000,21,,,84,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광사업과),2017-11-21,
청암관광농원,야영장,37.2671082,127.5151765,경기도 이천시 부발읍 황무로1720번길 74,경기도 이천시 부발읍 아미리 4-1번지,031-632-5082,10,2658,328.63,40,60,짚라인,소화기+관리요원,족구장+찜질방+카페+글램핑(10동) 등,지정일 14:00~익일 12:00,비수기 주중 112000만원+주말 144000만원+성수기 주중 126000만원+주말 162000만원,031-645-3667,경기도 이천시청,2017-11-20,
테르메덴,야영장,37.1941149,127.4462383,경기도 이천시 모가면 사실로 984 (테르메덴),경기도 이천시 모가면 신갈리 360번지,031-645-2000,15,19482,,60,20,물놀이장,소화기+관리요원,온천+카페+카라반(15대) 등,지정일 14:00~익일 12:00,주중 80000원+주말 16만원,031-645-3667,경기도 이천시청,2017-11-20,
신선계곡야영장,야영장,37.4491692,127.3444924,경기도 광주시 퇴촌면 천진암로 768,경기도 광주시 퇴촌면 관음리 182,,20,1649,131.94,80,20,샤워장+세척실+화장실,소화기+긴급방송시설,화로대+전기+무선인터넷+장작+족구장1면,24시간,"40,000~50,000",031-769-0266,광주시청,2017-11-07,
카라반캠프,야영장,37.1690495,126.6277904,경기도 화성시 서신면 해안길 72,경기도 화성시 서신면 제부리 20-75,031-357-8031,12,750,0,68,3,전기시설+샤워실+화장실,소화기+확성기+대피공간,,,"비수기주중 120,000원/비수기금,일 150,000원/ 비수기 토,공휴일전일 190,000원/준성수기주중 150,000원/준성수기금,일 170,000원/ 준성수기 토,공휴일전일 200,000원/성수기 주중 170,000원/성수기 금,일 200,000원/ 성수기 토,공휴일전일 220,000원 / 극성수기  250,000원",031-369-6016,화성시청,2017-12-01,
글램비글램핑,야영장,37.169852,126.6279891,경기도 화성시 서신면 해안길 64,경기도 화성시 서신면 제부리 20-15번지 일대,031-357-7877,66,4118,84.96,200,17,전기시설+샤워실+화장실+매점,소화기+대피공간+방송장비+CCTV,,,"주중 68,000원/금 118,000원/주말 148,000원",031-369-6016,화성시청,2017-12-01,
은빛초원캠핑장,자동차야영장,37.2224882,126.8009731,경기도 화성시 남양읍 샘실길 50-2,경기도 화성시 남양읍 원천리 672-1 외,031-356-4927,20,2567,142,50,20,전기시설+샤워실+화장실+휴대용가스렌지+매점,소화기+확성기+대피공간,,,비수기주말 35000원/ 성수기주말 40000원,031-369-6016,화성시청,2017-12-01,
산들래 야영장,야영장,37.2102382,126.8931568,경기도 화성시 비봉면 자청로207번길 21-71,경기도 화성시 비봉면 자안리 147-4번지,031-356-0768,56,4634,196,80,40,전기시설+샤워실+화장실+조리대,소화기+대피공간+방송장비+CCTV,,,"비수기,성수기 주말 40000원",031-369-6016,화성시청,2017-12-01,
어섬캠핑장,자동차야영장,37.2446504,126.6527295,경기도 화성시 송산면 어섬길259번길 64,경기도 화성시 송산면 고포리 826-1,031-356-4005,6,3444,36,36,4,전기시설+샤워실+화장실+가스시설,소화기+확성기+대피공간,,,비수기주중 30000원/비수기주말 35000원/성수기 35000원,031-369-6016,화성시청,2017-12-01,
김포한강오토캠핑장,자동차야영장,37.7033421,126.6544953,경기도 김포시 월하로912번길 64,경기도 김포시 하성면 전류리 167번지,031-989-1000,95,20748,1359,585,80,샤워실15,"소화기 ,구급약품","수영장, 놀이터",1박(상시),30000~100000,031-980-2482,김포시청,2017-11-06,
솔밭펜션캠핑장,야영장,37.8531447,127.3505064,경기도 가평군 조종면 운악청계로371번길 58-34,경기도 가평군 조종면 신상리 261-5,,25,7347,,100,8,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
에뜨유명산캠핑장,야영장,37.5919029,127.4864159,경기도 가평군 설악면 유명산길 124-17,경기도 가평군 설악면 가일리 235-4,,26,2548,,104,9,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
㈜포세이돈,야영장,37.7013629,127.5178326,경기도 가평군 청평면 고재길 262-101,경기도 가평군 청평면 고성리 2-27,,6,2009,,24,2,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
동물카라반펜션,야영장,37.7470492,127.3597106,경기도 가평군 상면 임초밤안골로 313,경기도 가평군 상면 임초리 625,,9,2552,,36,3,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
가평카라반캠핑농원,야영장,37.838591,127.504244,경기도 가평군 가평읍 문화로 291-25,경기도 가평군 가평읍 읍내리 803외 1필지,,8,2382,,32,3,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
새연리조트,야영장,37.8467047,127.3468405,경기도 가평군 조종면 운악청계로333번길 86,경기도 가평군 조종면 신상리 477 외 2필지,,8,2059,,32,3,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
칼봉산카라반캠핑장,야영장,37.8273203,127.4823822,경기도 가평군 가평읍 경반안로 229,경기도 가평군 가평읍 경반리 515외 2필지,,10,4748,,40,3,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
위크팜글램핑,야영장,37.8179255,127.3257304,경기도 가평군 상면 원흥길 37-6,"경기도 가평군 상면 태봉리 249-8, 250-2번지",,6,1481,,24,2,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
이우캠핑장,야영장,37.8154797,127.3239595,경기도 가평군 상면 태봉리 466,경기도 가평군 상면 태봉리 466,,6,330,,24,2,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
청평다감캠핑장,야영장,37.7105781,127.4818672,경기도 가평군 청평면 호반로 886,경기도 가평군 청평면 고성리 786-19,,5,813,,20,2,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
㈜캠프통,야영장,37.7102997,127.4838614,경기도 가평군 청평면 호반로 976,경기도 가평군 청평면 고성리 761-6,,10,1979,,40,3,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
계곡풍경캠핑장,야영장,37.953272,127.4751101,경기도 가평군 북면 가화로 2389-34,경기도 가평군 북면 도대리 336-21,,6,1653,,24,2,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
명지산카라반오토캠핑장,야영장,37.9813799,127.447529,경기도 가평군 북면 가화로 2932-23,경기도 가평군 북면 적목리 75,,21,19187,,84,7,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
보리산 캠핑장,야영장,37.6690579,127.5373536,경기도 가평군 설악면 한서로 421-259,경기도 가평군 설악면 위곡리 33-4,031-585-6050,6,4002,,24,2,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
와이캠핑장,야영장,37.7316908,127.4243424,경기도 가평군 청평면 강변로 115,경기도 가평군 청평면 청평리 134-9,,13,12619,,52,4,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
지지밸리야영장,야영장,37.6160355,127.4918389,경기도 가평군 설악면 유명로 794-46,경기도 가평군 설악면 방일리 545-4번지외 5필지,,11,4960,,44,4,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
리즈밸리,야영장,37.5918729,127.5128087,경기도 가평군 설악면 어비산길 201-34,경기도 가평군 설악면 가일리 40번지외 6필지,,14,3474,,56,5,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
무지개 서는 마을,야영장,37.9095275,127.4939338,경기도 가평군 북면 가화로 1725,경기도 가평군 북면 도대리 72-7,,24,4980,,96,8,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
유명산 라온캠핑장,야영장,37.5917354,127.485509,경기도 가평군 설악면 유명산길 124-29,"경기도 가평군 설악면 가일리 237-2,4,5,238-1,2,3",,30,3339,,120,10,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
별빛오토캠핑장,야영장,37.6475337,127.5003396,경기도 가평군 설악면 묵안로 219-15,경기도 가평군 설악면 엄소리 75,,40,6194,,160,13,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
포시즌캠핑장,야영장,37.8271751,127.320205,경기도 가평군 청평면 청군로 1640,경기도 가평군 상면 태봉리 535,,9,2889,,36,3,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
힐조캠핑장,야영장,37.7626564,127.3617602,경기도 가평군 상면 수목원로164번길 16,경기도 가평군 상면 행현리 431,,8,3720,,32,3,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
플로렌스 글램핑&캠핑,야영장,37.8931186,127.5517362,경기도 가평군 북면 보안벚꽃길 54,경기도 가평군 북면 목동리 1077-2,,2,996,,8,1,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
가평행복마을,야영장,37.7806554,127.371144,경기도 가평군 상면 청군로 776-22,경기도 가평군 상면 임초리 477-1,031-585-8686,14,2714,,56,5,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
청평힐리조트,자동차야영장,37.6817488,127.3852897,경기도 가평군 청평면 북한강로 1841-12,경기도 가평군 청평면 삼회리 309-12,031-584-8777,23,9438,,92,8,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
포시즌캠핑장,야영장,37.9447172,127.5373758,경기도 가평군 북면 화악산로 1039-7,경기도 가평군 북면 화악리 834-33외 3필지,,27,3555,,108,9,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
JB 캠핑하우스,야영장,37.9622312,126.9267429,경기도 파주시 적성면 감악산로 1270-74,경기도 파주시 적성면 구읍리 556,,21,9994,,84,,전기시설+하수도시설+샤워실,소화기+대피공간,,,,031-940-4361,파주시청,2017-11-01,
명돈골캠핑장,야영장,37.9674358,127.4587681,경기도 가평군 북면 논남기길 19-36 명돈골레저유원지,경기도 가평군 북면 도대리 534-1외2필지,,8,2726,,32,3,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
브라보캠핑장,야영장,37.9711326,127.4556385,경기도 가평군 북면 가화로 2670-49,경기도 가평군 북면 적목리 167,,9,4666,,36,3,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
아리움캠핑,야영장,37.7683787,127.3730125,경기도 가평군 상면 왕대벌길 147,경기도 가평군 상면 임초리 392-9,031-584-1279,20,9981,,80,7,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
베스트캠핑장,야영장,37.772298,127.5353038,경기도 가평군 가평읍 금대리 302-10,경기도 가평군 가평읍 금대리 302-10외7필지,,18,4208,,72,6,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
하이캠핑장,야영장,37.968413,127.4161667,경기도 가평군 북면 논남기길 468-33,경기도 가평군 북면 적목리 335-6,,20,4657,,80,7,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
클럽노블픽,야영장,37.6896335,127.3678137,경기도 가평군 청평면 모꼬지로 154,경기도 가평군 청평면 대성리 569-12외1필지,031-584-5588,25,10882,,100,8,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
들꽃여울캠핑장,야영장,37.5969035,127.5057546,경기도 가평군 설악면 어비산길 130-6,경기도 가평군 설악면 가일리 100-2,,6,1155,,24,2,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
가평사계절캠핑장,야영장,37.8836465,127.5485968,경기도 가평군 북면 가화로 988,경기도 가평군 북면 목동리 816,,26,2494,,104,9,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
솔다람숲캠핑장,야영장,37.8218461,127.4470246,경기도 가평군 가평읍 태봉두밀로406번길 127-74,경기도 가평군 가평읍 두밀리 144-8,,1,581,,4,0,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
하늘계곡캠핑장,야영장,37.616236,127.5390254,경기도 가평군 설악면 봉미산안길 190-27,경기도 가평군 설악면 설곡리 65-4,,15,2449,,60,5,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
은하캠핑장,야영장,37.842089,127.5097777,경기도 가평군 가평읍 읍내리 967-18,경기도 가평군 가평읍 읍내리 967-18,,10,3400,,40,3,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
금다래캠핑장,야영장,37.9502222,127.5333199,경기도 가평군 북면 화악산로 1087-26,경기도 가평군 북면 화악리 924,,9,1258,,36,3,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
소풍캠핑장,야영장,37.5952095,127.5079172,경기도 가평군 설악면 어비산길 184-151,경기도 가평군 설악면 가일리 107-5,,6,1008,,24,2,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
인오캠핑장,야영장,37.913889,127.3842593,경기도 가평군 조종면 명지산로 523,경기도 가평군 조종면 상판리 141-2,,13,2616,,52,4,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
또와캠핑장,야영장,37.8976704,127.5532139,경기도 가평군 북면 화악산로207번길 107-107,경기도 가평군 북면 소법리 627-54,,6,1085,,24,2,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
화야 캠핑장,야영장,37.6807276,127.4688315,경기도 가평군 설악면 유명로 1907-41,경기도 가평군 설악면 회곡리 32-1,,8,1998,,32,3,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
파인빌 포레스트 야영장,야영장,37.8780639,127.5782101,경기도 가평군 가평읍 당목가일길 645,경기도 가평군 가평읍 개곡리 146-2,,4,1765,,16,1,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
숲속의 정원 캠핑장,야영장,37.8818084,127.5505724,경기도 가평군 북면 가화로 988-50,경기도 가평군 북면 목동리 792-8,,10,2675,,40,3,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
유명산밸리 캠핑장,야영장,37.5933749,127.4899469,경기도 가평군 설악면 유명산길 79-28,경기도 가평군 설악면 가일리 223-8,,9,1476,,36,3,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
㈜라벤트리코리아,야영장,37.663809,127.5444447,경기도 가평군 설악면 한서로 543-31,경기도 가평군 설악면 위곡리 10,,22,11451,,88,7,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
하늘땅별땅 캠핑장,야영장,37.9514394,127.5331011,경기도 가평군 북면 화악산로 1135-47,경기도 가평군 북면 화악리 904-5,,20,2326,,80,7,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
자우림캠핑장,야영장,37.9699398,127.451887,경기도 가평군 북면 가화로 2697-125,경기도 가평군 북면 적목리 153-4 / 152-1,,5,678,,20,2,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
유명산힐링캠핑장,야영장,37.5908445,127.5131074,경기도 가평군 설악면 어비산길 201-62,경기도 가평군 설악면 가일리 39-11외 2필지,,10,4735,,40,3,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
오카나간캠핑장,야영장,37.5963138,127.4917211,경기도 가평군 설악면 유명산길 61-12,경기도 가평군 설악면 가일리 258-1외 2필지,,7,2896,,28,2,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
캠플레이,야영장,37.7806498,127.2887671,경기도 가평군 상면 비룡로 1610-15,경기도 가평군 상면 250-2/250-7,,2,875,,8,1,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
온더락캠핑장,야영장,37.7598469,127.3583195,경기도 가평군 상면 수목원로 238-106,경기도 가평군 상면 행현리 480-2~3,,8,2405,,32,3,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
썬샤인캠프,야영장,37.6834967,127.4703112,경기도 가평군 설악면 유명로 1939,경기도 가평군 설악면 회곡리 24,,17,3144,,68,6,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
포레스트홀리데이스,야영장,37.7622984,127.3639261,경기도 가평군 상면 수목원로 181-22,"경기도 가평군 상면 행현리 373,375-4번지",,25,6125,,100,8,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
가평 썬 캠핑장,야영장,37.8256491,127.321482,경기도 가평군 상면 태봉리 532-3,경기도 가평군 상면 태봉리 532-3,,6,1647,,24,2,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
바오바오캠핑장,야영장,37.7870652,127.320181,경기도 가평군 상면 돌아우길 64-11,경기도 가평군 상면 상동리 73-9,031-585-5922,5,840,,20,2,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
가평운악홀리데이카라반파크,야영장,37.8530373,127.3563121,경기도 가평군 조종면 운악청계로424,경기도 가평군 조종면 신상리 206-8~10번지,,17,5027,,68,6,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
이레캠핑장,야영장,37.8193965,127.3280991,경기도 가평군 상면 청군로 1487,경기도 가평군 상면 태봉리 211-5,,34,8077,,136,11,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
둥지캠핑장,야영장,37.6010356,127.5312726,경기도 가평군 설악면 묵안로 976-62,경기도 가평군 설악면 묵안리 311.310-3,,40,7369,,160,13,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
가평물골숲계곡캠핑장,야영장,37.836642,127.3141794,경기도 가평군 상면 물골길 120,경기도 가평군 상면 봉수리 18-3,,6,1689,,24,2,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
유명산캠핑장,야영장,37.5949008,127.508471,경기도 가평군 설악면 가일리 108,경기도 가평군 설악면 가일리 234번지외 6필지,,18,3969,,72,6,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
용수그린랜드,야영장,37.853863,127.3482827,경기도 가평군 조종면 운악청계로491번길 87 용수유원지,경기도 가평군 조종면 신상리 257-1,,11,2120,,44,4,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
별다리 캠핑,야영장,37.8947564,127.5284651,경기도 가평군 북면 꽃넘이길 23-7,경기도 가평군 북면 제령리 528,,20,3492,,80,7,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
글램바오캠핑장,야영장,37.7721265,127.5353593,경기도 가평군 가평읍 금대리 302-15,경기도 가평군 가평읍 금대리 302-15,,6,1955,,24,2,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
은석캠핑장,야영장,37.5977886,127.4945616,경기도 가평군 설악면 유명산길 61-75,경기도 가평군 설악면 가일리 261-25외 2필지,,18,4904,,72,6,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
우리들캠핑장,야영장,37.9027534,127.5585729,경기도 가평군 북면 화악산로 243,경기도 가평군 북면 소법리 133-6외 2필지,,36,2736,,144,12,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
포레스트소울,야영장,37.8913887,127.3685117,경기도 가평군 조종면 명지산로 206-7,경기도 가평군 조종면 상판리 344-1번지외 3필지,,8,3821,,32,3,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
리스캐빈,야영장,37.5975377,127.4920575,경기도 가평군 설악면 유명산길 61-21,경기도 가평군 설악면 가일리 264,,19,4445,,76,6,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
한송오토캠핑장,자동차야영장,37.6012625,127.5349206,경기도 가평군 설악면 묵안로 1012,경기도 가평군 설악면 묵안리 171-4외 3필지,,25,6417,,100,8,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,"화장실, 샤워실, 개수대",,,031-580-2066,가평군청 관광사업단,2017-10-31,
